Date,Total_Pop,Pop_5_24,Percent_5_24,Median_Age,Male_to_Female_Ratio,Pop_5_24_per1000,RUCA1,Income,Race,Total_Mobile_Home,No_English,Below_Poverty_Line,Percent_18_24_no_HS_diploma,Percent_No_HS_Diploma,Percent_Unemployment,NDVI,TMIN,TMAX,EHF,Above_95th,RH,Mental_Health,month,Day,TMAX_24hr_diff,TMIN_24hr_diff,loc,Region,log_Total_Pop_per1000
2016-08-19,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.3275,18.99875,27.8825,0,0,76.13375,56,8,19,-1.995,0.41125,1,1,5.27275850387137
2016-08-20,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.345,18.89625,26.5925,0,0,79.33375,57,8,20,-1.29,-0.1025,1,1,5.27275850387137
2016-08-21,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.5575,19.29375,26.30375,0,0,82.86375,59,8,21,-0.28875,0.3975,1,1,5.27275850387137
2016-08-22,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.22625,16.445,27.62,0,0,80.26125,69,8,22,1.31625,-2.84875,1,1,5.27275850387137
2016-08-23,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.54625,15.1925,26.615,0,0,71.905,55,8,23,-1.005,-1.2525,1,1,5.27275850387137
2016-08-24,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.5475,15.96625,26.83,0,0,74.56125,66,8,24,0.215,0.773750000000001,1,1,5.27275850387137
2016-08-25,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.555,17.15375,25.86,0,0,82.15875,60,8,25,-0.97,1.1875,1,1,5.27275850387137
2016-08-26,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.1875,18.06125,30.07375,0,0,73.76375,69,8,26,4.21375,0.907500000000001,1,1,5.27275850387137
2016-08-27,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.51375,18.13,31.28375,0,0,70.2275,44,8,27,1.21,0.0687499999999996,1,1,5.27275850387137
2016-08-28,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.54125,17.83625,30.54875,0,0,72.5275,63,8,28,-0.735,-0.29375,1,1,5.27275850387137
2016-08-29,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.1075,15.2275,29.02625,0,0,77.89625,66,8,29,-1.5225,-2.60875,1,1,5.27275850387137
2016-08-30,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.5525,15.6225,28.90625,0,0,70.6175,76,8,30,-0.120000000000001,0.395,1,1,5.27275850387137
2016-08-31,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.1425,16.27375,28.67125,0,0,71.7125,55,8,31,-0.234999999999999,0.65125,1,1,5.27275850387137
